_id,lat,lng,main_damage,grouped_damage,confidence_level,geo_result,occupancy,address,parsed_address,address_dict,country,parish,town,suburb,street,place
"BLDG28134","15.30531612","-61.38627571","Moderately Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28135","15.30522621","-61.38624252","Highly Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28136","15.30511056","-61.38595699","Moderately Damaged","Damaged Buildings","nan","15.3048436,-61.3856128359359,pitch","pitch","Lindo Park, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Lindo Park,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Lindo Park"
"BLDG28137","15.305257800000001","-61.38606365","Moderately Damaged","Damaged Buildings","nan","15.3058211,-61.3861102,residential","residential","McIntyre Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","McIntyre Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","McIntyre Lane","None"
"BLDG28138","15.30517068","-61.38600273","Negligible to slight damage","Damaged Buildings","nan","15.3058211,-61.3861102,residential","residential","McIntyre Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","McIntyre Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","McIntyre Lane","None"
"BLDG28139","15.30539569","-61.38611803","Negligible to slight damage","Damaged Buildings","nan","15.3058211,-61.3861102,residential","residential","McIntyre Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","McIntyre Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","McIntyre Lane","None"
"BLDG28140","15.30547061","-61.38614517","Negligible to slight damage","Damaged Buildings","nan","15.3058211,-61.3861102,residential","residential","McIntyre Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","McIntyre Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","McIntyre Lane","None"
"BLDG28141","15.30554596","-61.38623083","Highly Damaged","Damaged Buildings","nan","15.3058211,-61.3861102,residential","residential","McIntyre Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","McIntyre Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","McIntyre Lane","None"
"BLDG28142","15.30570686","-61.38657452","Highly Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28143","15.30521904","-61.38649203","Highly Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
