lid,latitude,longitude,population_2015,population_2020,abs_increase,perc_increase
LOC00286,15.23569444,-61.33375,3.813613053,3.689797482,-0.123815571,0.97
LOC00287,15.23569444,-61.33347222,3.813613053,3.689797482,-0.123815571,0.97
LOC00288,15.23569444,-61.33291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00289,15.23569444,-61.33263889,3.813613053,3.689797482,-0.123815571,0.97
LOC00290,15.23569444,-61.33236111,3.813613053,3.689797482,-0.123815571,0.97
LOC00291,15.23569444,-61.33180556,3.813613053,3.689797482,-0.123815571,0.97
LOC00292,15.23569444,-61.33152778,3.813613053,3.689797482,-0.123815571,0.97
LOC00293,15.23569444,-61.33125,3.813613053,3.689797482,-0.123815571,0.97
LOC00294,15.23569444,-61.32319444,3.813613053,3.689797482,-0.123815571,0.97
LOC00295,15.23569444,-61.32291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00296,15.23569444,-61.32263889,3.813613053,3.689797482,-0.123815571,0.97
LOC00297,15.23597222,-61.35680556,7.53397121,7.568222297,0.034251087,1.00
LOC00298,15.23597222,-61.35652778,7.53397121,7.568222297,0.034251087,1.00
LOC00299,15.23597222,-61.34180556,3.813613053,3.689797482,-0.123815571,0.97
LOC00300,15.23597222,-61.34152778,3.813613053,3.689797482,-0.123815571,0.97
LOC00301,15.23597222,-61.34125,3.813613053,3.689797482,-0.123815571,0.97
LOC00302,15.23597222,-61.34097222,3.813613053,3.689797482,-0.123815571,0.97
LOC00303,15.23597222,-61.34069444,3.813613053,3.689797482,-0.123815571,0.97
LOC00304,15.23597222,-61.34041667,3.813613053,3.689797482,-0.123815571,0.97
LOC00305,15.23597222,-61.34013889,3.813613053,3.689797482,-0.123815571,0.97
LOC00306,15.23597222,-61.33986111,3.813613053,3.689797482,-0.123815571,0.97
LOC00307,15.23597222,-61.33902778,3.813613053,3.689797482,-0.123815571,0.97
LOC00308,15.23597222,-61.33680556,3.813613053,3.689797482,-0.123815571,0.97
LOC00309,15.23597222,-61.33652778,3.813613053,3.689797482,-0.123815571,0.97
LOC00310,15.23597222,-61.33625,3.813613053,3.689797482,-0.123815571,0.97
LOC00311,15.23597222,-61.33597222,3.813613053,3.689797482,-0.123815571,0.97
LOC00312,15.23597222,-61.33569444,3.813613053,3.689797482,-0.123815571,0.97
